Type,Key Account,Region,ProductPricesInCP_split_23,ProductPricesInCP_split_19,growth_tot
TOOLS & KITS,Lionshield Coster,Halruaan Empire,229042.0,207191.0,0.10546307513357234
ADVENTURING EQUIPMENT,Three Wishes,Old Empire,80612.0,87076.0,-0.07423400248059164
TOOLS & KITS,Black Phoenix,Purple Dragon Empire,188017.0,191022.0,-0.01573117232570076
ADVENTURING EQUIPMENT,Three Wishes,Dwarven Empire,155600.0,181789.0,-0.1440626220508392
ADVENTURING EQUIPMENT,Nobility,Waterdhavian Empire,274105.0,290222.0,-0.055533350331814946
MUSICAL INSTRUMENT,Night's Knights,Old Empire,13912.0,14038.0,-0.00897563755520725
ADVENTURING EQUIPMENT,Order of the Gauntlet,Calim Empire,333679.0,311647.0,0.07069537008217641
JEWELRY,No Key Account,Bloodlands Empire,890389.0,937624.0,-0.050377336757591484
ADVENTURING EQUIPMENT,Three Wishes,Thayan Empire,330750.0,274060.0,0.20685251404801863
TOOLS & KITS,Lionshield Coster,Amnian Empire,183949.0,274870.0,-0.33077818605158804
MUSICAL INSTRUMENT,Order of the Gauntlet,Old Empire,12297.0,5796.0,1.1216356107660457
TOOLS & KITS,House of Wonders,Thayan Empire,203875.0,183090.0,0.11352340379048553
MUSICAL INSTRUMENT,No Key Account,Amnian Empire,1193748.0,1076110.0,0.10931782066889073
JEWELRY,Night's Knights,Waterdhavian Empire,27863.0,50066.0,-0.4434746135101666
MUSICAL INSTRUMENT,Night's Knights,United Moonshae Empire,13602.0,6112.0,1.2254581151832462
JEWELRY,Night's Knights,Old Empire,5904.0,23919.0,-0.7531669384171579
ADVENTURING EQUIPMENT,Nobility,Southern Empire,71426.0,44762.0,0.5956838389705554
MUSICAL INSTRUMENT,Night's Knights,Thayan Empire,35342.0,37328.0,-0.05320402914702105
ADVENTURING EQUIPMENT,Order of the Gauntlet,Amnian Empire,770635.0,790911.0,-0.025636259958452978
MUSICAL INSTRUMENT,Order of the Gauntlet,Calim Empire,22569.0,25062.0,-0.09947330620062245
MUSICAL INSTRUMENT,Order of the Gauntlet,Dwarven Empire,8477.0,17916.0,-0.5268475106050458
JEWELRY,Night's Knights,Thayan Empire,59623.0,63332.0,-0.058564390829280666
