product_name,product_code,type,revenue_2019,quantity_2019,revenue_2020,quantity_2020,revenue_2021,quantity_2021,revenue_2022,quantity_2022,revenue_2023,quantity_2023
Alchemy Jug (Blue),10042766,ADVENTURING EQUIPMENT,153550,370,152720,368,198785,479,161933.0,400,170150,410
Legendary Crafting Components,10047934,TOOLS & KITS,169921,367,217610,470,149549,323,193997.0,419,189367,409
Siren Song Lyre,10098969,MUSICAL INSTRUMENT,79655,445,75359,421,72853,407,76791.0,429,77686,434
Illuminators Tattoo Enchantment,10111608,POTIONS & SCROLLS,183574,349,206192,392,235122,447,246694.0,469,198302,377
Leather Armour,10247925,ARMS & ARMOUR,84045,431,92040,472,62010,318,74100.0,380,73515,377
Ioun Stone - Natural Knowledge,10289184,ADVENTURING EQUIPMENT,387394,413,372386,397,354564,378,258888.0,276,404278,431
Hide of the Feral Guardian,10338620,ARMS & ARMOUR,552150,675,957060,1170,885894,1083,368100.0,450,363192,444
Needle of Mending,10376032,ADVENTURING EQUIPMENT,44722,379,41418,351,47908,406,52510.0,445,41418,351
Wand of Conducting,10389747,ADVENTURING EQUIPMENT,121394,406,129467,433,118703,397,148005.0,495,135746,454
Donkey,10401391,ANIMALS & TRANSPORTATION,103966,454,88623,387,104653,457,82898.0,362,91371,399
Dimensional Shackles,10420162,ADVENTURING EQUIPMENT,111020,455,96136,394,86132,353,111264.0,456,79788,327
Burlap Sack (Set of 20),10439225,TOOLS & KITS,5670,405,5026,359,5068,362,4970.0,355,4858,347
Helm of Telepathy,10548505,ADVENTURING EQUIPMENT,170544,456,174284,466,150722,403,157828.0,422,162690,435
Giant Riding Lizard,10554816,ANIMALS & TRANSPORTATION,271985,409,303240,456,214130,322,211470.0,318,210805,317
Glamourweave,10566289,ADVENTURING EQUIPMENT,237188,394,223944,372,253442,421,211001.0,361,259462,431
Javelin of Backbiting,10591294,ARMS & ARMOUR,235170,390,197181,327,249039,413,311751.0,517,246627,409
Ring of Spell Storing,10608994,JEWELRY,319488,416,341760,445,277248,361,238080.0,310,264192,344
Potter’s tools ,10615306,TOOLS & KITS,265875,375,310542,438,272965,385,306997.0,433,338902,478
Sled,10676164,ANIMALS & TRANSPORTATION,39039,429,44590,490,39585,435,39949.0,439,43862,482
Tentacle Rod,10687153,ARMS & ARMOUR,1068313,1121,1332294,1398,858653,901,344986.0,362,446957,469
Rare Crafting Components,10726016,TOOLS & KITS,137460,395,154512,444,107532,309,122844.0,353,151032,434
Wand of Smiles,10893656,ADVENTURING EQUIPMENT,258951,399,255057,393,214819,331,271931.0,419,299838,462
Kyrzins Ooze,10965860,ADVENTURING EQUIPMENT,424281,429,388677,393,494500,500,457907.0,463,431204,436
Common Crafting Components,11017390,TOOLS & KITS,165785,467,135610,382,121765,343,167098.5,482,130995,369
Longbow ,11041038,ARMS & ARMOUR,357000,425,367080,437,594720,708,1433880.0,1707,1149120,1368
Climbers kit ,11052360,TOOLS & KITS,11778,453,11180,430,9568,368,11050.0,425,10894,419
Dragon Scale Mail,11140770,ARMS & ARMOUR,307248,592,498240,960,460872,888,367971.0,709,197220,380
Ring of Poison Resistance,11153869,JEWELRY,134616,316,132060,310,157620,370,121836.0,286,137598,323
Keoghtoms Ointment,11209124,ADVENTURING EQUIPMENT,288805,445,238832,368,256355,395,249216.0,384,237534,366
Crystal,11209779,ADVENTURING EQUIPMENT,356956,466,316358,413,229034,299,303336.0,396,289548,378
Smoldering Armor Enchantment,11256716,POTIONS & SCROLLS,98326,466,92418,438,77437,367,90097.0,427,70474,334
Spellbook ,11364262,ADVENTURING EQUIPMENT,335520,360,427788,459,365344,392,331792.0,356,371868,399
Helm of Teleportation,11535354,ADVENTURING EQUIPMENT,207090,351,274940,466,251930,427,227150.0,385,263730,447
Hellsteel Simple Melee Weapon,11539502,ARMS & ARMOUR,265071,447,195097,329,239572,404,219410.0,370,700926,1182
Mace of Smiting,11582533,ARMS & ARMOUR,213675,385,189810,342,189255,341,222000.0,400,200910,362
Boots of False Tracks,11590588,ADVENTURING EQUIPMENT,371917,427,286559,329,392821,451,349271.0,401,339690,390
Chain (10 feet) ,11602354,TOOLS & KITS,177548,476,136145,365,163374,438,127566.0,342,132415,355
Heavy Armour +3,11619615,ARMS & ARMOUR,368828,437,332536,394,390772,463,324940.0,385,303840,360
Lute,11660040,MUSICAL INSTRUMENT,68354,478,58916,412,45617,319,56628.0,396,49764,348
Ring of Regeneration,11713425,JEWELRY,247520,455,233920,430,182240,335,184633.60000000003,349,237184,436
Leather Golem Armour,11716264,ARMS & ARMOUR,153370,313,220990,451,153370,313,180810.0,369,174440,356
Wand of Viscid Globs,11737785,ARMS & ARMOUR,281934,454,311121,501,416691,671,987638.4,1629,986148,1588
Studded leather armour,11794259,ARMS & ARMOUR,306125,395,291400,376,1047800,1352,1512025.0,1951,1374075,1773
Maul ,11929061,ARMS & ARMOUR,380100,420,790970,874,866990,958,651600.0,720,1587370,1754
Mask of the Beast,12029066,ADVENTURING EQUIPMENT,330761,353,442264,472,357934,382,388855.0,415,445075,475
Gavel of the Venn Rune,12042414,ADVENTURING EQUIPMENT,466468,554,373006,443,405002,481,320802.0,381,454680,540
Elemental Gem,12060345,SUMMONING DEVICE,10764,468,9085,395,8993,391,7836.099999999999,352,8855,385
Toque,12066739,ADVENTURING EQUIPMENT,378430,410,359047,389,421811,457,323050.0,350,323973,351
Pole (3m collapsable),12080329,TOOLS & KITS,427332,447,342248,358,362324,379,348940.0,365,443584,464
Scribes Pen,12083870,ADVENTURING EQUIPMENT,118965,385,110313,357,120819,391,103515.0,335,113712,368
Manacles ,12096354,TOOLS & KITS,48330,358,55215,409,39690,294,49005.0,363,63855,473
Iron Bands of Bilarro,12147094,ADVENTURING EQUIPMENT,353030,430,317727,387,298844,364,286529.0,349,281603,343
Staff of Charming,12150555,ARMS & ARMOUR,393198,426,326742,354,383968,416,371969.0,403,354432,384
Feather Token (Tree),12237363,ADVENTURING EQUIPMENT,73920,330,101472,453,89152,398,95648.0,427,99904,446
Thieves’ tools ,12271598,TOOLS & KITS,70384,424,58100,350,65570,395,64740.0,390,49136,296
Medium Armour +3,12283333,ARMS & ARMOUR,87234,402,103509,477,85498,394,90923.0,419,104377,481
